Timestamp,ISBN,Title,Author,Publisher,Year,Summary,Genre,Reading level,Page count,Price
,,Baalir Niche Kiser Dim,,Brac,,,Fiction,2,8,5
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,,,,Fiction,,16,
,8943000005436,Allah Sobkichhu Srishti Korechhen,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9843000005511,Ghumonto Guhaabaasi,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9848494352,Chokleter Chaakaa,Saamsi Haasaan,World of Children's Books Ltd,,,,5,15,5
,,Golper Asor-3,,Brac,,,Fiction,4,27,10
,9843000005504,Allahr Saathe Musaa (A) er Kothaabaartaa,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,,Golper Asor-2,,Brac,,,Fiction,3,20,10
,,Aadibaaseeder Peshaa,,Brac,,,Fiction,2,10,5
,,Chhorhaay Chhorhaay,Rhymes,Brac,,,Fiction,2,6,5
,9843000005450,Dhaarmik Baekti O Taar Sontaaneraa,Saniyasnain Khan,,,,General,,24,
,9843000005450,Dhaarmik Baekti O Taar Sontaaneraa,Saniyasnain Khan,,,,General,,24,
,9843000005450,Dhaarmik Baekti O Taar Sontaaneraa,Saniyasnain Khan,,,,General,,24,
,9841900157,Lotaa Paata,Aal Kamal Abdul Wahab,Brac,,,Fiction,2,20,5
,9841900157,Lotaa Paata,Aal Kamal Abdul Wahab,Brac,,,Fiction,2,20,5
,,Daarhkinaar Biye,,Brac,,,Fiction,2,8,5
,984849420X,Ghorer Vetor Idur Level-4 Book-5,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494081,Kothhay Aamaar Khelnaa Vaaluk? Level-2 Book-4,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494081,Kothhay Aamaar Khelnaa Vaaluk? Level-2 Book-4,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,,Baalir Niche Kiser Dim,,Brac,,,Fiction,2,8,5
,,Inchu,,Brac,,,Fiction,2,8,5
,9848494328,Pushir Laal Boll,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9848494191,Petuk Robot Level-4 Book-4,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,,Laal Murgi,Jeeshan Rahman,Brac,,,Fiction,2,12,10
,9789843407719,Eso 1 2 3  Chini,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
,9789843407719,Eso 1 2 3  Chini,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
